aircraftID,departingFrom,arrivingAt,departure,arrival,flightNumber
TF-EPG,Keflavik,Longyearbyen,2019-12-20T06:45:00,2019-12-20T10:45:00,NA5638
TF-UVR,Longyearbyen,Keflavik,2019-12-20T11:45:00,2019-12-20T15:45:00,NA3525
TF-XZR,Keflavik,Longyearbyen,2019-12-22T06:16:00,2019-12-22T10:16:00,NA9228
TF-MOM,Longyearbyen,Keflavik,2019-12-22T11:16:00,2019-12-22T15:16:00,NA9997
TF-DAD,Keflavik,Nuuk,2019-12-21T06:21:00,2019-12-21T09:21:00,NA2275
TF-GRM,Nuuk,Keflavik,2019-12-21T10:21:00,2019-12-21T13:21:00,NA2581
TF-GAY,Keflavik,Nuuk,2019-12-24T05:24:00,2019-12-24T08:24:00,NA8734
TF-SAD,Nuuk,Keflavik,2019-12-24T09:24:00,2019-12-24T12:24:00,NA6251
TF-BOD,Keflavik,Kulusuk,2019-12-20T06:27:00,2019-12-20T08:27:00,NA6164
TF-SEX,Kulusuk,Keflavik,2019-12-20T09:27:00,2019-12-20T11:27:00,NA6974
TF-AND,Keflavik,Kulusuk,2019-12-24T06:15:00,2019-12-24T08:15:00,NA1172
TF-FOM,Kulusuk,Keflavik,2019-12-24T09:15:00,2019-12-24T11:15:00,NA2312
TF-XYZ,Keflavik,Thorshavn,2019-12-24T09:18:00,2019-12-24T10:18:00,NA3342
TF-YMC,Thorshavn,Keflavik,2019-12-24T11:18:00,2019-12-24T12:18:00,NA5319
TF-RVK,Keflavik,Thorshavn,2019-12-26T09:27:00,2019-12-26T10:27:00,NA9444
TF-HFJ,Thorshavn,Keflavik,2019-12-26T11:27:00,2019-12-26T12:27:00,NA8669
TF-GBR,Keflavik,Tingwall,2019-12-21T10:23:00,2019-12-21T12:23:00,NA9939
TF-KOP,Tingwall,Keflavik,2019-12-21T13:23:00,2019-12-21T15:23:00,NA7661
TF-GOD,Keflavik,Tingwall,2019-12-24T09:39:00,2019-12-24T11:39:00,NA8371
TF-BAD,Tingwall,Keflavik,2019-12-24T12:39:00,2019-12-24T14:39:00,NA4579
TF-WIN,Keflavik,Tingwall,2019-12-27T09:40:00,2019-12-27T11:40:00,NA2814
TF-SON,Tingwall,Keflavik,2019-12-27T12:40:00,2019-12-27T14:40:00,NA7489
