airplane,destination,departure,arrival,flightNr,seatSold,id
TF-TYQ,LYR,2019-11-02T06:21:00,2019-11-02T12:01:00,NA470,37,8769996234237
TF-TYQ,KEF,2019-11-02T11:21:00,2019-11-02T11:21:00,NA471,23,8769996234228
TF-XZR,LYR,2019-11-04T05:32:00,2019-11-04T11:12:00,NA470,37,8769996241541
TF-XZR,KEF,2019-11-04T10:32:00,2019-11-04T10:32:00,NA471,41,8769996241878
TF-XZR,LYR,2019-11-06T05:39:00,2019-11-06T11:19:00,NA470,25,8769996242053
TF-XZR,KEF,2019-11-06T10:39:00,2019-11-06T10:39:00,NA471,29,8769996242821
TF-IZE,LYR,2019-11-08T06:35:00,2019-11-08T12:15:00,NA470,49,8769996242649
TF-IZE,KEF,2019-11-08T11:35:00,2019-11-08T11:35:00,NA471,30,8769996242640
TF-EPG,LYR,2019-11-10T06:18:00,2019-11-10T11:58:00,NA470,54,8769996243345
TF-EPG,KEF,2019-11-10T11:18:00,2019-11-10T11:18:00,NA471,31,8769996244706
TF-LNQ,LYR,2019-11-12T06:20:00,2019-11-12T12:00:00,NA470,58,8769996193416
TF-LNQ,KEF,2019-11-12T11:20:00,2019-11-12T11:20:00,NA471,36,8769996244336
TF-IZE,LYR,2019-11-14T05:18:00,2019-11-14T10:58:00,NA470,32,8769996194533
TF-IZE,KEF,2019-11-14T10:18:00,2019-11-14T10:18:00,NA471,54,8769996243944
TF-EPG,LYR,2019-11-16T06:21:00,2019-11-16T12:01:00,NA470,53,8769996193967
TF-EPG,KEF,2019-11-16T11:21:00,2019-11-16T11:21:00,NA471,46,8769996195560
TF-XZM,LYR,2019-11-18T05:25:00,2019-11-18T11:05:00,NA470,22,8769996195729
TF-XZM,KEF,2019-11-18T10:25:00,2019-11-18T10:25:00,NA471,45,8769996196497
TF-LNQ,LYR,2019-11-20T06:40:00,2019-11-20T12:20:00,NA470,30,8769996197358
TF-LNQ,KEF,2019-11-20T11:40:00,2019-11-20T11:40:00,NA471,34,8769996197340
TF-XZR,LYR,2019-11-22T06:23:00,2019-11-22T12:03:00,NA470,38,8769996196997
TF-XZR,KEF,2019-11-22T11:23:00,2019-11-22T11:23:00,NA471,46,8769996292148
TF-XUP,LYR,2019-11-24T06:37:00,2019-11-24T12:17:00,NA470,55,8769996197648
TF-XUP,KEF,2019-11-24T11:37:00,2019-11-24T11:37:00,NA471,37,8769996197816
TF-TYQ,LYR,2019-11-26T06:25:00,2019-11-26T12:05:00,NA470,58,8769996198262
TF-TYQ,KEF,2019-11-26T11:25:00,2019-11-26T11:25:00,NA471,46,8769996198271
TF-LNQ,LYR,2019-11-28T06:25:00,2019-11-28T12:05:00,NA470,59,8769996198229
TF-LNQ,KEF,2019-11-28T11:25:00,2019-11-28T11:25:00,NA471,47,8769996198298
TF-IZE,LYR,2019-11-30T05:23:00,2019-11-30T11:03:00,NA470,29,8769996198208
TF-IZE,KEF,2019-11-30T10:23:00,2019-11-30T10:23:00,NA471,26,8769996198397
TF-XZM,GOH,2019-11-08T10:31:00,2019-11-08T18:34:00,NA220,20,8769996198202
TF-XZM,KEF,2019-11-08T14:31:00,2019-11-08T14:31:00,NA221,38,8769996198379
TF-XZR,GOH,2019-11-12T10:45:00,2019-11-12T18:48:00,NA220,33,8769996198346
TF-XZR,KEF,2019-11-12T14:45:00,2019-11-12T14:45:00,NA221,36,8769996197961
TF-XUP,GOH,2019-11-20T10:24:00,2019-11-20T18:27:00,NA220,57,8769996198069
TF-XUP,KEF,2019-11-20T14:24:00,2019-11-20T14:24:00,NA221,54,8769996198045
TF-XZR,GOH,2019-11-24T10:43:00,2019-11-24T18:46:00,NA220,23,8769996198129
TF-XZR,KEF,2019-11-24T14:43:00,2019-11-24T14:43:00,NA221,46,8769996197934
TF-EPG,GOH,2019-11-28T09:18:00,2019-11-28T17:21:00,NA220,34,8769996197970
TF-EPG,KEF,2019-11-28T13:18:00,2019-11-28T13:18:00,NA221,40,8769996198105
TF-UVR,KUS,2019-11-06T14:31:00,2019-11-06T18:40:00,NA430,50,8769996198138
TF-UVR,KEF,2019-11-06T17:31:00,2019-11-06T17:31:00,NA431,46,8769996199482
TF-XZM,KUS,2019-11-30T13:22:00,2019-11-30T17:31:00,NA430,27,8769996199590
TF-XZM,KEF,2019-11-30T16:22:00,2019-11-30T16:22:00,NA431,43,8769996199614
TF-LNQ,FAE,2019-11-18T00:00:00,2019-11-18T08:45:00,NA040,39,8769996199650
TF-LNQ,KEF,2019-11-18T02:00:00,2019-11-18T02:00:00,NA041,40,8769996199509
TF-UVR,FAE,2019-11-30T00:00:00,2019-11-30T08:45:00,NA040,56,8769996199653
TF-UVR,KEF,2019-11-30T02:00:00,2019-11-30T02:00:00,NA041,47,8769996199647
TF-TYQ,LWK,2019-11-06T00:00:00,2019-11-06T10:52:00,NA380,30,8769996199656
TF-TYQ,KEF,2019-11-06T03:00:00,2019-11-06T03:00:00,NA381,49,8769996199593
TF-PGK,LWK,2019-11-24T00:00:00,2019-11-24T10:52:00,NA380,45,8769996201108
TF-PGK,KEF,2019-11-24T03:00:00,2019-11-24T03:00:00,NA381,34,8769996201099
